id_restaurante,nombre,n_resenas,valoracion_google,avg_estrellas_modelo,pct_positivo,pct_neutro,pct_negativo,n_resenas_negativas,n_baja_confianza,estrellas_5,estrellas_4,estrellas_3,estrellas_2,estrellas_1,servicio_menciones,comida_menciones,ambiente_menciones,precio_menciones,velocidad_menciones,ruido_menciones,limpieza_menciones,servicio_pct,comida_pct,ambiente_pct,precio_pct,velocidad_pct,ruido_pct,limpieza_pct,servicio_pos,comida_pos,ambiente_pos,precio_pos,velocidad_pos,ruido_pos,limpieza_pos,servicio_neg,comida_neg,ambiente_neg,precio_neg,velocidad_neg,ruido_neg,limpieza_neg,servicio_avg_stars,comida_avg_stars,ambiente_avg_stars,precio_avg_stars,velocidad_avg_stars,ruido_avg_stars,limpieza_avg_stars,servicio_rep,comida_rep,ambiente_rep,precio_rep,velocidad_rep,ruido_rep,limpieza_rep,top5_platos,personal_destacado,terminos_tfidf
59,Peppe Fusco The Italian,90,4.8,4.367,82.2,6.7,11.1,10,15,64,10,6,5,5,64,66,22,15,9,2,1,71.1,73.3,24.4,16.7,10.0,2.2,1.1,56,53,19,10,4,2,1,4,8,2,4,2,0,0,4.55,4.3,4.32,3.73,3.44,5.0,5.0,True,True,True,True,False,False,False,"postre(6), pizza(5), bebidas(4), pinsa(4)","Edgar(12), Alejandra(5), Héctor(4)","comida, buena, atención, servicio, pasta"
60,La Taberna De Peñalver Cava Baja,90,4.7,4.533,86.7,4.4,8.9,8,11,71,7,4,5,3,69,63,19,10,7,2,0,76.7,70.0,21.1,11.1,7.8,2.2,0.0,59,54,14,5,3,2,0,7,6,2,3,4,0,0,4.51,4.49,4.11,3.5,2.71,4.5,,True,True,True,True,False,False,False,"paella(7), vino(5), arroz(4)","Luis(9), Nelson(6), Miguel(5), Yadira(4), Gabriel(4)","comida, excelente, paella, servicio, atención"
61,Lola Si Mola,90,4.7,4.467,87.8,4.4,7.8,7,19,63,16,4,4,3,73,76,42,15,11,3,1,81.1,84.4,46.7,16.7,12.2,3.3,1.1,64,66,37,12,7,2,1,5,6,3,1,1,1,0,4.49,4.42,4.4,4.47,3.82,3.33,5.0,True,True,True,True,True,False,False,"paella(13), sangría(6), pulpo(6), pan bao(6), patatas(4)","Alex(18), Lola(16), Alejandro(7)","comida, buena, servicio, atención, restaurante"
62,La Tasqueria de Javi Estevez,90,4.6,4.178,83.3,4.4,12.2,11,35,46,29,4,7,4,63,76,29,23,12,0,1,70.0,84.4,32.2,25.6,13.3,0.0,1.1,50,63,27,18,8,0,1,9,10,1,4,4,0,0,4.1,4.17,4.34,3.87,3.67,,5.0,True,True,True,True,True,False,False,"cabeza de cochinillo(21), postres(12), lengua(10), taco de carrillera(8), corazones de pato(8)",Estévez(8),"platos, menú, casquería, restaurante, servicio"
63,Sa Vida Wine Restaurant,90,4.6,4.744,92.2,5.6,2.2,2,11,76,7,5,2,0,57,83,21,15,4,3,1,63.3,92.2,23.3,16.7,4.4,3.3,1.1,55,77,19,12,2,3,0,0,2,1,1,1,0,0,4.84,4.75,4.67,4.27,3.75,4.67,3.0,True,True,True,True,False,False,False,"vino(16), carta de vinos(11), postre(8), tarta de queso(6), tapas(6)",,"comida, vinos, servicio, platos, calidad"
64,La Pizzateca,90,4.6,4.789,94.4,2.2,3.3,3,12,80,5,2,2,1,68,53,23,16,7,5,3,75.6,58.9,25.6,17.8,7.8,5.6,3.3,66,49,22,14,5,5,3,2,3,1,1,1,0,0,4.82,4.7,4.7,4.5,4.29,5.0,5.0,True,True,True,True,False,False,False,"ensalada(5), corteza fina(5), pasta(4), ingredientes frescos(4)",Alejo(6),"pizza, comida, pizzas, servicio, excelente"
65,Maruzzella,90,4.6,4.811,95.6,2.2,2.2,2,10,81,5,2,0,2,73,68,22,4,4,4,1,81.1,75.6,24.4,4.4,4.4,4.4,1.1,70,64,22,4,4,4,1,2,2,0,0,0,0,0,4.81,4.79,4.91,5.0,5.0,4.75,5.0,True,True,True,False,False,False,False,"pizza(13), pasta(8), tiramisú(5), postre(5)","Celia(17), Belkys(11), Fabiola(7), Miguel(6), Jenifer(4)","comida, atención, servicio, buena, excelente"
66,La Cabaña Argentina,90,4.5,4.067,72.2,14.4,13.3,12,28,49,16,13,6,6,64,70,26,16,11,0,4,71.1,77.8,28.9,17.8,12.2,0.0,4.4,51,54,22,10,4,0,4,5,5,1,2,3,0,0,4.28,4.24,4.46,3.75,3.45,,4.25,True,True,True,True,True,False,False,"dulce de leche(8), entrante(4), solomillo de ternera(4), ojo de bife(3)",,"comida, servicio, carne, restaurante, madrid"
67,MU! El Placer de la Carne II,90,4.7,4.578,88.9,4.4,6.7,6,16,72,8,4,2,4,74,66,15,37,12,2,2,82.2,73.3,16.7,41.1,13.3,2.2,2.2,65,59,13,35,9,2,1,6,5,1,2,1,0,0,4.54,4.61,4.6,4.76,4.33,5.0,4.0,True,True,True,True,True,False,False,"empanadas(4), carnes(4)","Emma(7), Gustavo(4)","comida, carne, atención, excelente, buena"
68,La Gaditana Retiro,91,4.9,4.901,98.9,0.0,1.1,1,10,85,5,0,0,1,73,47,10,5,1,0,0,80.2,51.6,11.0,5.5,1.1,0.0,0.0,73,47,10,5,1,0,0,0,0,0,0,0,0,0,4.95,4.89,4.9,4.6,5.0,,,True,True,True,False,False,False,False,especial félix(4),"Felix(15), Adrián(9), Yenifer(8), Talya(7), Rocio(7)","félix, comida, atención, felix, servicio"
69,Amordmadre,91,4.8,4.571,90.1,5.5,4.4,4,13,68,14,5,1,3,64,73,15,19,9,2,1,70.3,80.2,16.5,20.9,9.9,2.2,1.1,61,68,13,14,8,2,1,0,2,0,2,0,0,0,4.75,4.67,4.6,4.11,4.56,4.5,4.0,True,True,True,True,False,False,False,"oreja(7), tarta de queso(6), entraña(5), croquetas(4), postres(4)",,"comida, platos, siempre, trato, servicio"
